,barrio,barrio-href,zona,ciudad,lat,lon
0,Village Antuhue Lugar,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=623&country=Village%20Antuhue%20Lugar%20del%20Sol,Prov. Rio Negro,Bariloche,-41.122353 , -71.359716
1,Portal de Aldea,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=721&country=Portal%20de%20Aldea,Prov. Santa Fe,Rosario,-32.90765 , -60.742328
2,Pilar del Este,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=436&country=Pilar%20del%20Este,Buenos Aires - Norte,Pilar,-34.371863 , -58.871288
3,Brickland,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=182&country=Brickland,Buenos Aires - Sur,Canning,-34.867616 , -58.471800
4,Chacras de Gral Rodrig,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=242&country=Chacras%20de%20Gral%20Rodrigues,Buenos Aires - Oeste,General Rodriguez,-34.641833 , -58.968373
5,Las Orquideas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=340&country=Las%20Orquideas,Buenos Aires - Norte,Pilar,-34.453008 , -58.924510
6,Los Nogales,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=159&country=Los%20Nogales,Buenos Aires - Norte,Escobar,-34.518348 , -58.692806
7,Los Bretes,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=607&country=Los%20Bretes,Prov. Entre Rios,Colón,-32.237985 , -58.122978
8,Maschwitz Village,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=364&country=Maschwitz%20Village,Buenos Aires - Norte,Maschwitz,-34.320831 , -58.770296
9,Los Senderos I,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=90&country=Los%20Senderos%20I,Buenos Aires - Norte,Pilar,-34.438371 , -58.75064
10,Club de Campo Manuel B,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=620&country=Club%20de%20Campo%20Manuel%20Belgrano,Buenos Aires - Norte,Maschwitz,-34.337683 , -58.739736
11,Cinco Lomas,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=525&country=Cinco%20Lomas,Prov. Cordoba,Villa Warcalde,-31.333551 , -64.306203
12,Haciendas el Trapiche,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=927&country=Haciendas%20el%20Trapiche,Prov. San Luis,El Trapiche,-33.121733 , -66.056563
13,Arroyo Dulce,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=109&country=Arroyo%20Dulce,Buenos Aires - Oeste,Lujan,-34.600173 , -59.105431
14,La Legua,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=77&country=La%20Legua,Buenos Aires - Norte,Pilar,-34.435123 , -58.752136
15,La Julieta,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1158&country=La%20Julieta,Buenos Aires - Norte,Pilar,-34.457694 , -58.892638
16,El Pato,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=173&country=El%20Pato,Buenos Aires - Sur,El Pato,-34.903021 , -58.175523
17,Los Canales de Plottie,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=644&country=Los%20Canales%20de%20Plottier,Prov. Neuquen,Plottier,-38.972748 , -68.22496
18,La Cesarina,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=231&country=La%20Cesarina,Buenos Aires - Oeste,Moreno,-34.604360 , -58.900545
19,Pilar Privado,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=163&country=Pilar%20Privado,Buenos Aires - Norte,Pilar,-34.442006 , -58.824166
20,Marina Serena,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=461&country=Marina%20Serena,Buenos Aires - Norte,Delta,-34.368303 , -58.625416
21,Saint Thomas Country C,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=4&country=Saint%20Thomas%20Country%20Club,Buenos Aires - Sur,Canning,-34.886250 , -58.492035
22,Complejo Villanueva,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=121&country=Complejo%20Villanueva,Buenos Aires - Norte,Tigre,-34.371601 , -58.704376
23,Haras Maria Victoria,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=65&country=Haras%20Maria%20Victoria,Buenos Aires - Oeste,Moreno,-34.337815 , -58.850063
24,Santa Isabel 2,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=503&country=Santa%20Isabel%202,Buenos Aires - Norte,Escobar,-34.450000 , -58.692350
25,San Patricio,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=237&country=San%20Patricio,Buenos Aires - Oeste,Moreno,-34.602201 , -58.867780
26,Estancia San miguel,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=434&country=Estancia%20San%20miguel,Buenos Aires - Norte,San Miguel,-34.383995 , -59.073216
27,Haras Santa Maria,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=66&country=Haras%20Santa%20Maria,Buenos Aires - Norte,Escobar,-34.33846 , -58.85106
28,Quequen Chico,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=844&country=Quequen%20Chico,Buenos Aires - Costa Atlantica,Necochea,,
29,Solares del Radal,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=635&country=Solares%20del%20Radal,Prov. Neuquen,Villa la Angostura,-40.724697 , -71.672873
30,El Alto,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=608&country=El%20Alto,Prov. Rio Negro,Bariloche,-40.88662 , -65.12616
31,Rumenco,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=577&country=Rumenco,Buenos Aires - Costa Atlantica,Mar del Plata,-38.075236 , -57.587248
32,Tierra Alta,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1112&country=Tierra%20Alta,Prov. Cordoba,Carlos Paz,,
33,Banco Provincia de Bs,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=129&country=Banco%20Provincia%20de%20Bs%20As,Buenos Aires - Oeste,Moreno,-34.602396 , -58.853251
34,Lagos del mar,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1070&country=Lagos%20del%20mar,Buenos Aires - Costa Atlantica,Mar Chiquita,,
35,Carlos Paz Golf,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1047&country=Carlos%20Paz%20Golf,Prov. Cordoba,Carlos Paz,-31.49225 , -64.529983
36,Los Paraísos,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1001&country=Los%20Para%C3%ADsos,Buenos Aires - Norte,Cardales,,
37,Montecarlo,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=870&country=Montecarlo,Buenos Aires - Norte,Pilar,,
38,Costa del Sol,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=921&country=Costa%20del%20Sol,Buenos Aires - Costa Atlantica,Mar del Plata,,
39,Greenville Polo y Reso,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1002&country=Greenville%20Polo%20y%20Resort,Buenos Aires - Sur,Hudson,-34.806488 , -58.169565
40,Hi42.5,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=1019&country=Hi42.5,Buenos Aires - Norte,Pilar,,
41,Haras del Sol,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=228&country=Haras%20del%20Sol,Buenos Aires - Oeste,Moreno,-34.522170 , -58.883380
42,Haras Maria Eugenia,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=230&country=Haras%20Maria%20Eugenia,Buenos Aires - Oeste,Moreno,-34.638888 , -58.653745
43,Bahía Bustamante,http://www.guiacountry.com/countries/imagenes/index.php?CO_ID=831&country=Bah%C3%ADa%20Bustamante,Prov. Chubut,Bahia Bustamante,,
